user_id,friends
1746,"[3552, 5495, 1042, 1818, 8005, 6738, 3918, 3367]"
4054,"[2543, 49, 463, 418, 7762, 6747, 911]"
2533,"[897, 848, 5508, 7811, 6875, 8107, 4118, 4407, 938, 444, 2031, 1380, 1446, 304, 115, 2660, 8169, 2086, 6953, 1129, 5972, 670, 2689, 2687, 1772, 551, 685, 2272, 146, 3730, 4356, 2313, 7286, 7674]"
710,"[1842, 4112, 5489, 1672, 198]"
2971,"[3712, 2828, 8005, 897, 1079, 6228, 3525, 5706]"
4855,"[411, 6776, 897, 3913, 4236, 5347, 1857, 6244]"
2031,"[1086, 74, 1772, 485, 1681, 988, 263, 2272, 7462, 3337, 2533, 7183, 1380, 1598, 6872, 24, 4345, 312, 938, 6711, 382, 3582, 7102, 304, 3400, 626, 3568, 1946, 2738, 5124, 946, 6170, 7411, 6962, 3116, 3078]"
2272,"[2260, 834, 3843, 816, 1446, 553, 1101, 1772, 3018, 3556, 6845, 3785, 2533, 4414, 1419, 1698, 1275, 4407, 1958, 629, 6163, 5083, 3618, 3724, 1634, 946, 4079, 375, 6711, 1133, 7051, 7396, 470, 2930, 2086, 3568, 3400, 1868, 988, 1356, 6179, 5508, 1327, 4118, 24, 435, 8122, 5292, 1416, 2268, 5324, 4532, 7240, 6588, 1759, 7209, 1894, 6360, 112, 1817, 938, 1862, 1103, 3078, 1288, 3994, 3328, 8005, 483, 6953, 3825, 2896, 1380, 604, 250, 444, 1681, 539, 5807, 1145, 1368, 959, 6853, 485, 1947, 8169, 4583, 7759, 3742, 4275, 1616, 3352, 8107, 2704, 454, 4600, 1127, 716, 4345, 6760, 1917, 3132, 811, 2692, 331, 4337, 2759, 1156, 3658, 871, 7102, 2043, 720, 17, 1075, 479, 403, 6089, 5970, 5283, 1611, 6881, 3337, 924, 5838, 405, 7658, 5453, 453, 6315, 5537, 221, 7944, 382, 3986, 6938, 3420, 5306, 3857, 3947, 848, 3617, 3853, 6962, 2353, 4674, 5660, 1105, 1859, 3628, 304, 6509, 7460, 7411, 6776, 6785, 4708, 1029, 5559, 5820, 5693, 2377, 6712, 1806, 1562, 6326, 3495, 2031, 626, 3081, 6615, 2573, 3283, 1266, 6217, 5568, 6781, 537, 4876, 4557, 1157, 3079, 7298, 4066, 7919, 7489, 7655, 5071, 6293, 267, 6703, 1882, 2245, 263, 386, 5571, 2623, 2927, 49, 7833, 2554, 3784, 3924, 3044, 5322, 6869, 3201, 3504, 551, 6738, 3662, 3654, 6746, 3732, 6546, 4327, 401, 5749, 6799, 4605, 5974, 617, 2842, 1470, 6112, 3367, 899, 6657, 585, 4764, 5126, 4034, 2511, 5643, 994, 3684, 5658, 1122, 4706, 1250, 7553, 5705, 2803, 8196, 115, 3135, 3669, 8121, 4116, 7276, 3139, 5630, 7390, 301, 4810, 3440, 6544, 6448, 4551, 4110, 3832, 986, 6122, 1754, 5756, 5612, 1857, 7674, 7505, 2015, 3479, 8217, 526, 6986, 3248, 110, 2367, 7807, 2005, 6993, 7855, 7998, 2144, 7545, 1418, 3054, 3289, 6747, 2685, 1306, 2763, 1129, 7890, 900, 6091, 1946, 74, 7462, 5066, 3730, 6044, 6458, 733, 4199, 1048, 3582, 3626, 2202, 1842, 3937, 6700, 5151, 6519, 2054, 8184, 5933, 7183, 6398, 3792, 4356, 5858, 412, 5916, 6614, 4490, 2452, 2027, 2591, 312, 170, 5959, 6730, 3055, 4968, 6861, 6250, 897, 5417, 6228, 3663, 8008, 3351, 740, 14, 5522, 3038, 1214, 2738, 561, 4144, 5349, 7992, 1598, 6773, 2332, 7453, 4408, 2000, 5019, 6530, 588, 3196, 8002, 6666, 6832, 912, 1997, 5893, 1206, 8247, 5803, 7713, 3031, 3484, 1031, 6875, 8053, 7034, 7020, 1540, 5710, 7608, 114, 4747, 592, 258, 2527, 2218, 6300, 2916, 4395, 4772, 4942, 5869, 7679, 6626, 7286, 6244, 5802, 7824, 7842, 6015, 5138, 2566, 2421, 7947, 2371]"
482,"[198, 1128, 4309, 2703, 7807, 5913, 380, 785, 3758, 6838]"
740,"[258, 4532, 977, 4093, 6747, 2629, 834, 3928, 2577, 3611, 375, 6451, 1830, 5250, 8107, 7453, 797, 2272, 1842, 4946, 80, 806, 1131, 4488, 6618, 153, 1948, 49, 82, 861, 4244, 6845, 5767, 1031, 187, 198, 4579, 390, 331, 8233, 2452, 8169, 4144, 3819, 1343, 5083, 2738, 3568, 6853, 8184, 403, 5539, 629, 6882, 5630, 897, 6379, 752, 4472, 2929, 1828, 5472, 1908, 2819, 2321, 7034, 6738, 1266, 4411, 5559, 4345, 5568, 4818, 4279, 6850, 7102, 7674, 3367, 2086, 8053, 4605, 8234, 7276, 4035, 6546, 5529, 2566, 5571, 1759, 8081, 6072, 5988, 3139, 1857, 670, 7240, 7209, 986, 1652, 2176, 7897, 6015, 1190, 1643, 6057, 7169, 7228, 4518, 3472, 3771, 8005, 1848, 6944, 3646, 6300, 2745, 5125, 7992, 240, 4408, 526, 720, 7450, 7867, 5741, 410, 5007, 3503, 5037, 6953, 7560, 7890, 7819, 405, 7919, 4901, 3248, 8122, 1292, 7807, 6067, 1862, 2549, 4987, 4380, 7713, 2550, 1904, 2591, 7322, 4739, 3351, 2842, 2948, 2579, 2421, 7525, 7947, 4034, 3734, 6106, 6621, 7613, 1687, 3903]"
3722,"[537, 245, 2522, 3786, 56, 375, 32, 5985]"
635,"[4002, 1898, 3693, 2418, 2116, 959, 325, 157, 8107, 550, 3458, 2081, 4179, 614, 855, 1334, 1669, 2713, 7218, 897, 2960, 7020, 403, 841, 7748]"
1263,"[4236, 1612, 5320, 1417, 1616, 258, 6158, 1219, 7867, 2452, 3607, 80, 1416, 1848, 1293, 568, 7405, 4244, 5900, 2683, 1456, 2716, 490, 3836, 3352, 4002, 4309, 968, 3088, 1713, 847, 1820, 1282, 2303, 3460, 3375, 545, 3079, 2233, 6758, 977, 380, 7298, 128, 3819, 400, 390, 5193, 1842, 381, 3684, 1327, 535, 2227, 5630, 2956, 4809, 5867, 170, 3734, 6448, 2662, 6776, 8122, 2043, 247, 3567, 3167, 866, 1225, 705, 1271, 905, 6726, 7833, 2812, 7101, 7496, 3762, 6057, 1025, 6006, 1857, 897, 5216, 7221, 8053, 7426, 2441, 6869, 4791, 2821, 592, 329, 7453, 6154, 110, 1828, 8021, 6966, 8005, 5653, 702, 5906, 6211, 2579, 2713, 2735, 6465, 2057, 7824, 3177, 2377, 8247]"
2195,"[511, 86, 1483, 100, 1144, 2580, 7209, 2086, 3273, 6953, 3317, 629, 1980, 1031, 3071, 1570, 1419, 334, 4443, 4490, 7092, 1788, 1224, 235, 6501, 2559, 8184, 6699, 4792, 1452, 1511, 2015, 3548, 549, 7145, 2900, 1531, 5455, 5417, 5699, 560, 338, 967, 7021, 4472, 1238, 8107, 3149, 727, 1771, 502, 3480, 1573, 198, 169, 567, 1551]"
4446,"[375, 154, 2054, 421, 2425, 767, 4493, 5426, 5393, 32, 2489, 1214, 372, 3669, 4527, 1693, 6712, 1418, 6202]"
4902,"[3851, 2425, 4820, 1385, 3824, 2654, 4382, 4569, 857, 4882, 2181, 4493, 2589, 2054, 5343, 375, 8113, 1572, 236, 1418, 3379, 4900, 1214, 32, 3678, 6088, 1276, 154]"
3461,"[1933, 3432, 8122, 1692, 1354, 49, 2468, 117, 5348, 967, 6787, 335, 2695, 739, 3047]"
6451,"[1499, 897, 7879, 3707, 6215, 7478, 1842, 6869, 198, 6640, 8005, 5539, 6158, 1037, 583, 742, 7453, 1745, 1282, 2452, 2716, 968, 908, 496, 740, 7867, 568, 5125, 3611, 377, 410, 4722, 80, 2828, 1848, 1609, 4244, 2492, 8021, 1713, 2087, 1612]"
4337,"[1010, 2272, 1346, 1698, 462, 440, 1101, 2430, 230, 6853, 5475, 1540, 1275, 3190, 267, 1373, 2039, 5559, 7240, 538, 1438, 2043, 371, 2000, 7071, 3367, 642, 6845, 716, 5387, 7674, 5601, 4706, 5568, 6300]"
6098,"[2452, 6869, 7453, 5480, 1386, 198, 80, 7867, 583, 1289, 2438, 4315, 1282, 3929, 1127, 1609, 6940, 4000, 2703, 1741, 2713, 5900, 5371, 1175]"
4369,"[767, 1634, 2427, 1214, 4493, 375, 2483, 1572, 1418, 154, 1110, 3105, 4820, 1693, 2954, 2054, 245, 753, 7562, 1469, 499, 1215, 2833, 236]"
3795,"[4345, 419]"
1718,"[63, 1549, 1616, 8184, 2469, 4356, 4381, 4567, 2102, 5972, 4017, 5568, 2138, 6831, 3138, 1964, 1002, 6485, 3367, 150, 1266, 7549, 6784, 7759, 8181, 6637, 4336, 7298, 7512, 7078, 6857, 5823, 5630, 75, 4946, 7957, 3352, 7652, 6856, 7450, 903, 7286, 2661]"
6758,"[1220, 4522, 3836, 6036, 8005, 2452, 6037, 410, 1078, 386, 1617, 6781, 1042, 2812, 5900, 5083, 1613, 1713, 1820, 447, 3552, 2730, 4394, 609, 4216, 3859, 977, 847, 3579, 72, 327, 3856, 6228, 377, 380, 3939, 7867, 1732, 968, 6445, 128, 6156, 5125, 1995, 536, 7453, 6640, 1162, 1140, 2815, 4885, 4701, 353, 2057, 3429, 3369, 1437, 5658, 247, 2691, 490, 598, 4078, 1910, 4356, 637, 2662, 6448, 1254, 6776, 4190, 3691, 5193, 5706, 702, 340, 3684, 1225, 798, 3951, 892, 390, 1657, 2162, 3361, 6440, 8, 2231, 6049, 80, 3505, 1395, 5347, 1676, 4608, 3950, 442, 3017, 1962, 7514, 2713, 6055, 3969, 1783, 234, 5976, 27, 7916, 4592, 129, 7544, 1093, 752, 1168, 6750, 3673, 5041, 866, 3955, 1384, 2809, 3603, 7276, 1745, 876, 592, 60, 1912, 4195, 428, 6779, 4050, 5359, 5954, 5291, 7691, 119, 4895, 7807, 5362, 6728, 5529, 6940, 1762, 4020, 7166, 6006, 3088, 1279, 7240, 5867, 2330, 296, 258, 1037, 2043, 704, 411, 2384, 7387, 1064, 110, 8071, 2611, 6298, 785, 1647, 863, 897, 6378, 7040, 6723, 496, 3092, 3256, 1263, 4346, 6103, 7879, 3918, 8094, 6869, 1857, 5250, 610, 3069, 5617, 1792, 3899, 1022, 6465, 3009, 2591, 6154, 7560, 6989, 6610, 3297, 588, 7465, 6211]"
1282,"[7453, 6098, 4791, 500, 4727, 285, 2348, 905, 3836, 5828, 1128, 4607, 6451, 1043, 4722, 1037, 198, 2629, 708, 1263, 4297, 2311, 948, 3370, 6640, 5500, 968, 7867, 496, 568, 1293, 5141, 258]"
3568,"[7221, 7453, 6869, 3848, 5767, 977, 1031, 8122, 3030, 7092, 2426, 2416, 8169, 496, 7564, 3152, 84, 447, 215, 187, 5372, 740, 2074, 5827, 5529, 399, 4942, 6544, 1842, 4946, 5559, 3105, 258, 7183, 5630, 834, 1745, 5970, 6666, 7051, 2477, 4674, 6962, 1681, 830, 485, 3078, 174, 4812, 453, 988, 7411, 1772, 7102, 1379, 8184, 5066, 2573, 6615, 454, 6178, 2268, 1356, 1859, 2031, 4932, 938, 5349, 4361, 3843, 5660, 115, 1616, 304, 6458, 1380, 848, 2623, 2377, 6711, 3684, 8107, 4434, 6751, 6872, 5820, 720, 1266, 4572, 636, 7060, 7447, 6315, 1306, 6807, 278, 3888, 14, 4547, 7658, 3556, 1250, 3135, 526, 130, 2332, 585, 5803, 7505, 6507, 1623, 1156, 3832, 5422, 4133, 6953, 7571, 4407, 7867, 2272, 1759, 80, 5756, 3044, 5693, 74, 6938, 7390, 1882, 6089, 4532, 911, 3283, 263, 7489, 5083, 7944, 7298, 538, 7462, 4345, 7209, 7958, 6257, 6425, 382, 112, 7240, 924, 4506, 897, 6845, 685, 7718, 1122, 586, 2419, 7614, 7608]"
857,"[2425, 4902, 375, 1418, 499, 421, 767, 154, 4882, 4527, 7545, 1214, 3105, 4395, 4119, 2833, 2992, 8094, 5071, 6202, 1540, 6088, 6082, 6712, 1215, 7209, 5720, 7674, 3811, 5505, 3397, 6091, 4231, 1857, 899, 3530, 4282, 2551, 6276, 6845, 56, 245, 3669, 1171, 5603, 2054, 1693, 372, 32, 4886, 7480, 2522, 2904, 1915, 6956, 301, 4974, 5397, 2035, 311, 8247, 3484, 2916, 3675, 8134, 7450, 1482, 8223, 6841, 3803]"
924,"[685, 1446, 2738, 4345, 3556, 7183, 399, 74, 8234, 1598, 4105, 4118, 470, 2272, 7545, 6881, 3400, 1681, 6509, 3568, 2573, 869, 5745, 382, 4110, 526, 3832, 2332, 7102, 3420, 3994, 7411, 6326, 223]"
6757,"[5537, 6164, 6799, 2374, 4202, 6552, 5717, 5957, 7077, 8152, 8225, 2617, 405]"
4878,"[977, 1494, 7879, 6052, 3039, 2673, 189, 4033, 3350, 2452, 6869, 1842, 6298, 2978, 1369, 3234, 3079, 2426, 4579, 1762, 4251, 3712, 847, 2964, 8005, 165, 55, 1820, 897, 661, 2764, 7867, 496, 1745, 80]"
2018,"[7453, 5559, 897, 369, 146, 1419, 2872, 7092, 2522, 1031, 6875, 2735, 6299, 986, 1616, 697, 8217, 5021, 7209, 6544, 3903]"
4530,"[4433, 977, 3286, 2884, 5886, 2057]"
1720,"[1617, 3232, 2330, 3224, 198, 1597, 919, 1745, 897, 545, 181, 2452, 847, 6776, 3069, 3446, 1042, 8005, 7867, 1420, 7879, 128, 3369, 4020, 956, 1957, 2183, 1064, 4767, 2338, 7916, 3859, 1713, 6211, 2713, 1569, 410, 5347, 6448, 1844, 3342, 12, 7387, 7227, 6445, 447, 5250, 768, 245, 4113, 411, 1225, 6869, 866, 3579, 1991, 353, 2497, 1610, 3361, 3969, 1547, 892, 7276, 7298, 5658, 2809, 610, 5846, 1078, 5019, 1581, 1820, 1271, 1025, 5380, 6156, 1278, 4195, 277, 1725, 1650, 536, 23, 1085, 606, 4078, 570, 2043, 6940, 4774, 592, 3367, 80, 6781, 6154, 785]"
5586,"[8252, 2102, 7382, 2229, 2228, 5972, 7035, 405]"
1010,"[885, 7704, 5627, 7286, 6853, 2, 1131, 1153, 2386, 6494, 440, 1504, 1724, 1698, 2469, 3190, 1241, 6123, 3053, 893, 8169, 3822, 6651, 1683, 604, 1532, 267, 174, 4378, 1222, 4930, 716, 435, 2704, 4359, 5598, 1540, 642, 2345, 4337, 1975, 671, 5997, 7751, 569, 7298, 1630, 317, 3367, 260, 4286, 7460, 4424, 7034, 2260, 1348, 3840, 1938, 6730, 4763, 2495, 288, 54, 677, 1800, 529, 3478, 5427, 1846, 2482, 3626, 205, 5807, 2373, 962, 230, 1727, 4510, 2298, 1438, 2906, 6465, 870, 299, 1600, 808, 2032, 3605, 3261, 4080, 2464, 8222, 620, 5518, 993, 1020, 2791, 515, 1332, 6673, 533, 7061, 1510, 3228, 1961, 371, 4706, 1886, 2060, 772, 7718, 4570, 6823, 596, 6845, 3043, 7317, 8070, 2887, 6918, 5001, 2779, 4095, 2412, 7609, 567, 6184, 1410, 498, 6300, 1979, 4452, 3589, 462, 5015, 980, 978, 562, 7890, 6333, 2234, 7109, 2430, 109, 7595, 5571, 8122, 2991, 1275, 5475, 1244, 4494, 4049, 3314, 7674, 4876, 5601, 2980, 972, 2039, 5689, 7742, 4887, 6206, 6080, 7576, 5623, 5012, 1500, 7947, 6370, 5621, 1082, 5642]"
3826,"[6853, 8169, 1241, 4401, 3029, 177]"
197,"[2164, 5478, 6521, 3498, 6953, 8107, 100, 2559, 1031, 3922, 1445, 1419, 4428]"
5562,[]
5178,[897]
5627,"[2129, 2039, 6123, 2260, 2386, 2373, 7092, 435, 5777, 6028, 2704, 5503, 1975, 3064, 1010, 1698, 900, 6853, 4359, 1241, 4930, 1244, 7751, 6651, 109, 2430, 5015, 6494, 538, 1846, 498, 7362, 230, 1600, 318, 2991, 1540, 2017, 1023, 3822, 2464, 5427, 972, 6730, 3119, 371, 267, 5559, 1490, 1938, 4932, 5356, 1373, 7034, 837, 870, 4706, 1438, 2298, 7998, 7109, 5475, 3243, 4863, 567, 885, 440, 462, 1355, 8169, 1277, 642, 4079]"
4532,"[3199, 6869, 6501, 959, 80, 913, 2452, 6845, 3605, 1862, 7240, 1029, 2500, 740, 49, 375, 4681, 2272, 834, 8169, 3030, 407, 2508, 2553, 629, 1933, 390, 5372, 8122, 7514, 3054, 6853, 2738, 3446, 6139, 7453, 8005, 5127, 399, 3568, 1419, 6747, 4942, 8107, 4370, 6738, 739, 897, 2274, 544, 5974, 6428, 3364, 5472, 5453, 1759, 2561, 7034, 463, 2582, 1133, 1692, 120, 911, 242, 67, 5537, 4595, 5500, 2015, 405, 7477, 5126, 7662, 6490, 1643, 5705, 96, 1904, 206, 1537, 8069, 5684, 2994, 3566, 1700, 6288, 69, 6712, 2549, 118, 6015, 3154, 6726, 7209, 5587, 2086, 1466, 583, 1842, 1031, 116, 2748, 7713, 3212, 1131, 7919, 5083, 1165, 510, 1586, 7102, 6953]"
5829,[]
6309,"[609, 8227, 1524, 7453, 4891, 4777, 2192, 8005, 3671, 408, 97, 5157, 8096, 1633, 897, 926, 6090, 2155, 1271]"
372,"[899, 4395, 3756, 375, 3532, 421, 4527, 4446, 8113, 2054, 1171, 1277, 32, 2992, 154, 1110, 3082, 6088, 4493, 2833, 3105, 2954, 2483, 1418, 4900, 1833, 3669, 499, 6712, 485, 4345, 245, 3272, 2768, 4219, 3772, 5525, 897, 1693, 6781, 8184, 4282, 3572, 3863, 1299, 6202, 1214, 654, 6841, 3663, 1908, 5448, 537, 7209, 1670, 2880, 3706, 2097, 5071, 7365, 3811, 3145, 3062, 3397, 857, 6091, 1880, 5571, 5505, 1915, 6956, 3793, 4027, 5698, 2832, 3530, 3245, 7480, 1540, 5537, 6, 4102, 4242, 8084, 311, 1167, 1097, 3484, 4376, 3933, 3803, 4720, 2916, 6845, 8094, 2035, 5883, 6248, 8223, 3903, 5685, 3282, 5132]"
760,"[410, 847, 8005, 1140, 2280, 6781, 1912, 4521, 897, 1996, 7276, 2497, 1857, 4195, 5793, 1835, 6869, 6081, 340]"
6245,"[2019, 2123, 132, 7932, 3388, 6056, 1759, 2395, 1054, 2256, 2919, 1307, 5314, 989, 3498, 376, 5016, 4659, 4836, 5107, 5204, 6557, 5339, 1601, 2312, 5300, 3845, 45, 6922, 4306, 888, 689, 1364, 3340, 18, 3965, 4971, 3961, 6301, 5947, 1242, 2831, 5183, 5523, 7674, 1113, 3440, 214, 4619, 3131, 6213, 1163, 7290, 3347, 4621, 3617, 2221, 2313, 6231, 2435, 2996, 1661, 8196, 79, 5532, 7414, 4232, 5865, 6190, 4300, 3830, 6228, 6258, 5514, 4313, 7374, 3717, 5377, 3445, 4719, 2690, 2244, 4740, 7759, 1568, 6616, 5897, 1695, 3825, 2776, 7167, 834, 6417, 8256, 4245, 2484, 6427, 1304]"
5281,"[2227, 4367, 6068, 629, 1119, 5630, 5974, 7256, 3570, 6831, 585, 6845, 4929, 3367, 897, 5083, 3803]"
4854,"[198, 6940, 7571, 7867, 6776, 2545, 496, 400, 1745, 1713, 5537, 80, 7807, 897]"
5559,"[4962, 7396, 7209, 1031, 1549, 7286, 5604, 1386, 3928, 1419, 7839, 2502, 2018, 3862, 1425, 7298, 1997, 5627, 7221, 3947, 74, 4246, 3261, 1219, 375, 140, 49, 2345, 2043, 8122, 6953, 5142, 5015, 2464, 5568, 7034, 6509, 1438, 4493, 5065, 8184, 4605, 5749, 3568, 629, 3169, 8107, 7102, 2000, 897, 6494, 5571, 740, 4706, 6106, 3646, 7477, 5630, 4526, 1113, 1266, 5282, 34, 3684, 2391, 5417, 720, 4037, 301, 1616, 1800, 6123, 2272, 5251, 1772, 3125, 1348, 4345, 7092, 4337, 462, 5660, 6853, 2095, 3845, 3352, 6845, 1332, 7674]"
512,"[6044, 4600, 3132, 1086, 7545, 685, 6398, 2738, 2841, 1446, 3259, 5324, 1772, 7183, 816, 24, 3582, 1156, 263, 1145, 7102, 383, 3618, 3337, 74, 3018, 988]"
4119,"[1276, 4493, 375, 2077, 2048, 4527, 1110, 154, 5640, 2571, 2427, 959, 1693, 6640, 4141, 8107, 3532, 2643, 3195, 3145, 2181, 1251, 4947, 3105, 857, 2920, 1493, 3158, 2992, 1215, 1845, 4900, 1372, 8217, 1634, 5522, 1418, 452, 767, 7674, 6853, 813, 782, 32, 8113]"
3017,"[583, 2452, 3632, 8005, 3712, 4020, 198, 897, 4472, 6940, 1842, 7998, 1835, 438, 1225, 4149, 1962, 1162, 6758, 7298, 4073, 4002, 6781, 80, 977, 6154, 6057, 5056, 3092, 7525]"
